,train_loss,test_loss
108,19082.696021412037,19339.268181295956
109,18988.957660590277,24586.66440716912
110,20233.591637731482,18760.469697840075
111,18684.418822337964,18836.28288717831
112,19053.8048828125,20038.651395909925
113,18774.84982638889,18796.270450367647
114,19167.357689525463,18690.16782513787
115,18605.762630208334,18537.816521139706
116,18875.33575665509,19669.891170726103
117,19109.668359375,21756.88462201287
118,19169.34576099537,18320.221909466913
119,18205.39093605324,18502.629681755516
120,19312.151888020835,18577.320226332722
121,18089.290502025462,18018.52165670956
122,18462.129897280094,20456.740263097425
123,18125.011631944446,18211.267578125
124,18220.307978877314,18251.47380514706
125,18827.902567997684,19510.060489430147
126,18065.46791087963,17701.361443014706
127,17924.17463107639,17754.984317555147
128,19002.288425925926,20469.136690027575
129,18745.741608796296,17654.631117876837
130,17616.043250868057,18240.301786534925
131,17411.12623336227,17454.8388671875
132,18041.78936993634,17901.165584788603
133,17750.313255931713,17713.263901654413
134,17759.713682725695,17842.568301930147
135,17547.87685546875,17512.22722311581
136,18169.239952256943,18955.563275505516
137,18456.49917534722,17377.375028722425
138,17027.438172743055,17175.787051930147
139,17010.61931423611,17198.48374310662
140,16944.151671006945,17225.160615808825
141,18790.335033275464,18513.71694048713
142,16906.78074363426,16829.498276654413
143,16903.991695601853,16986.67822265625
144,17308.60357711227,16985.90984030331
145,17063.96043113426,17159.67365579044
146,16701.19958767361,16855.35337201287
147,18503.777799479165,17120.721105238972
148,16914.14673755787,17278.241440716913
149,17087.098354311343,16627.041561351103
150,16469.95576533565,16510.791389016544
151,16512.40921585648,16583.93293313419
152,17354.2931640625,16644.34601907169
153,16935.165277777778,16700.28107766544
154,16836.258897569445,16692.503504136028
155,16376.62511574074,16338.229549632353
156,16920.805591724536,23340.028090533087
157,16805.538288483796,16247.542997472427
158,16184.36961082176,16111.06135110294
159,16775.296730324073,21568.06591796875
160,16912.208195891202,16223.821892233456
161,16078.57435619213,17129.950942095587
162,17568.203880931713,16600.15202780331
163,16208.874211516204,16122.752068014706
164,15982.10588107639,16028.055290670956
165,16296.327365451389,16121.014878216913
166,16043.522135416666,15903.23153147978
167,15995.318786168982,16075.008185891544
168,17228.36039134838,16104.551901424633
169,16391.13175636574,17679.635943244484
170,15943.390574363426,15771.152630974264
171,16062.67728587963,15930.93767233456
172,15869.614507378472,15981.736557904413
173,15676.580953414352,15695.244111902573
174,16554.324869791668,15997.169491038603
175,15994.490733506944,15925.110581341913
176,15590.344603587962,15656.244514016544
177,16805.04435402199,15586.720588235294
178,15592.268648726851,15507.451229319853
179,15767.921701388888,15498.187758501837
180,15497.573817274306,16875.252383961397
181,16219.839525462963,15483.71200022978
182,15461.120558449074,15593.663602941177
183,15810.343938078704,15489.017922794117
184,15289.213765914352,15406.31844554228
185,15301.364214409723,15285.954331341913
186,15908.453548177084,15539.740693933823
187,16101.423488136574,15664.465590533087
188,15572.459172453704,15804.41348805147
189,15342.611270254629,15482.196806066177
190,16462.222450086807,16643.301815257353
191,15424.257121672454,15441.372099034927
192,15248.055107060185,15265.801815257353
193,14969.721802662038,15147.818301930147
194,16983.56064453125,15123.640395220587
195,14931.549435763889,15078.850471047794
196,14971.270337818287,15009.006807215073
197,15323.74888599537,19578.510196461397
198,15804.618551070602,15028.15762867647
199,15116.009266493056,15097.163861443014
200,14888.642216435184,14841.954130284927
201,15173.99755859375,16778.877498851103
202,15383.017780671296,14812.615866268383
203,14945.600318287037,16263.810805376837
204,15598.936433015046,14880.07918772978
205,14840.947120949075,15214.28400735294
206,14824.536747685184,14862.618106617647
207,14671.898607494213,14626.921645220587
208,15357.842570891204,16125.824592141544
209,14913.389691840277,14741.590188419117
210,15069.244741030092,14631.757266773897
211,14980.772366898149,14583.16926125919
212,15634.062409577546,14528.2216796875
213,14408.776808449074,14552.0888671875
214,14607.494285300925,14703.351849724264
215,14785.865834780092,15780.26602711397
216,14812.827029079861,14531.914091222427
217,14896.458326099537,15196.402717141544
218,14491.769610821759,14400.775505514706
219,14995.490104166667,14800.140337775736
220,14398.61116898148,15129.280072380514
221,14715.207002314815,15400.606703814337
222,14851.952199074074,16524.095731847425
223,14551.206655092592,14247.907111672794
224,14455.88314525463,15117.70068359375
225,14790.78601707176,14410.065659466913
226,14385.77043185764,15002.963407628677
227,15594.971885850695,15246.24844898897
228,14205.553103298611,14121.53728170956
229,14021.537666377315,14245.702090992647
230,14464.652463107639,14394.556295955883
231,14495.410706018518,14686.830939797794
232,14253.833904803241,14089.488166360294
233,14105.21175491898,14192.5615234375
234,14587.371433738426,14017.947782628677
235,14812.414814814814,14246.18155445772
236,15601.969437210648,15195.754767922794
237,14066.180967881945,13990.218807444853
238,13970.950444878472,14091.792911305147
239,15022.466833043982,14309.91064453125
240,13832.85912181713,14048.70036764706
241,14648.579441550926,14605.954130284927
242,13894.843077256945,14068.986586626837
243,13853.93587601273,14461.288516773897
244,14268.32701099537,13914.623190487133
245,13832.939561631945,14102.604607077206
246,14316.62025462963,14083.682243795956
247,14623.663657407407,14551.833295036764
248,13748.589973958333,13695.89346852022
249,13706.39269386574,13711.620950137867
250,14664.061570457176,13804.183162913603
251,13626.500918692129,13712.17813648897
252,14080.046451822916,14092.106818704044
253,13716.831539351851,14416.82177734375
254,14527.931655092592,14951.026309742647
255,13826.619516782408,13627.305319393383
